Date,Open,High,Low,Close,Adj Close,Volume
2010-11-30,109.669998,110.760002,109.559998,110.169998,92.092873,8055600
2010-12-01,111.680000,112.900002,111.589996,112.669998,94.182655,7312300
2010-12-02,112.769997,113.870003,112.750000,113.739998,95.077072,6146200
2010-12-03,113.339996,114.019997,113.309998,113.940002,95.244270,4550500
2010-12-06,113.779999,114.050003,113.629997,113.739998,95.077072,6181100
2010-12-07,114.620003,114.709999,113.669998,113.730003,95.068748,7617300
2010-12-08,113.699997,114.080002,113.449997,113.889999,95.202461,6518700
2010-12-09,114.349998,114.389999,113.510002,113.919998,95.227562,5237500
2010-12-10,114.099998,114.339996,113.769997,114.290001,95.536812,8294000
2010-12-13,114.669998,115.029999,114.430000,114.489998,95.703979,4756900
2010-12-14,114.629997,115.379997,114.589996,115.010002,96.138657,5212500
2010-12-15,114.910004,115.440002,114.680000,114.889999,96.038391,5851100
2010-12-16,114.989998,115.389999,114.419998,115.239998,96.330948,8109500
2010-12-17,114.930000,114.989998,114.480003,114.949997,96.308342,4621200
2010-12-20,115.139999,115.150002,114.379997,114.750000,96.140747,6742100
2010-12-21,115.110001,115.459999,114.989998,115.309998,96.609940,4783100
2010-12-22,115.349998,115.660004,115.250000,115.580002,96.836151,3487300
2010-12-23,115.510002,115.790001,115.400002,115.730003,96.961876,3578800
2010-12-27,115.360001,115.639999,115.150002,115.540001,96.802643,4138600
2010-12-28,115.769997,115.879997,115.339996,115.790001,97.012100,4738400
2010-12-29,115.709999,115.980003,115.620003,115.650002,97.102806,6621900
2010-12-30,115.529999,115.709999,115.260002,115.449997,96.934814,6599100
2010-12-31,115.320000,115.730003,115.040001,115.629997,97.085991,3725200
2011-01-03,116.410004,116.860001,116.360001,116.410004,97.740913,9108900
2011-01-04,116.709999,116.730003,116.110001,116.639999,97.934052,9775600
2011-01-05,116.459999,117.190002,116.300003,117.040001,98.269875,7567800
2011-01-06,117.139999,117.190002,116.500000,116.779999,98.051575,7161600
2011-01-07,116.910004,117.099998,115.820000,116.570000,97.875237,9249800
2011-01-10,116.160004,116.339996,115.559998,116.199997,97.564590,6166700
2011-01-11,116.629997,116.860001,116.169998,116.550003,97.858437,5122600
2011-01-12,117.150002,117.650002,117.010002,117.400002,98.572159,5255800
2011-01-13,117.370003,117.379997,116.820000,117.199997,98.404205,6056800
2011-01-14,116.879997,117.769997,116.809998,117.690002,98.815636,5885800
2011-01-18,117.760002,118.430000,117.739998,118.230003,99.269043,4665700
2011-01-19,118.349998,118.489998,117.860001,118.160004,99.210266,9080300
2011-01-20,117.839996,118.339996,117.330002,118.120003,99.176651,10935600
2011-01-21,118.709999,118.800003,117.970001,118.459999,99.583519,9663000
2011-01-24,118.360001,119.580002,118.339996,119.559998,100.508278,12299400
2011-01-25,119.300003,119.589996,118.709999,119.489998,100.449379,10474000
2011-01-26,119.550003,119.940002,119.339996,119.610001,100.550316,9154100
2011-01-27,119.620003,119.930000,119.449997,119.639999,100.575470,7393200
2011-01-28,119.660004,119.860001,117.760002,118.019997,99.213669,17156100
2011-01-31,118.250000,118.650002,117.879997,118.599998,99.701225,8965000
2011-02-01,119.160004,120.230003,119.080002,120.089996,100.953789,7626900
2011-02-02,119.889999,120.320000,119.889999,120.099998,100.962204,4231200
2011-02-03,120.029999,120.570000,119.559998,120.370003,101.189209,6338100
2011-02-04,120.370003,120.690002,120.019997,120.690002,101.458214,5191300
2011-02-07,120.879997,121.650002,120.849998,121.349998,102.013008,7317100
2011-02-08,121.449997,122.220001,121.330002,122.139999,102.677116,6032000
2011-02-09,122.110001,122.400002,121.750000,122.279999,102.794846,7682100
2011-02-10,121.769997,122.250000,121.430000,122.169998,102.702339,7202200
2011-02-11,121.820000,122.760002,121.709999,122.650002,103.105911,6887200
2011-02-14,122.489998,122.709999,122.300003,122.610001,103.072273,4093900
2011-02-15,122.339996,122.370003,121.879997,122.199997,102.727570,4854700
2011-02-16,122.489998,123.059998,122.370003,122.879997,103.299225,5680000
2011-02-17,122.650002,123.339996,122.570000,123.160004,103.534615,4856500
2011-02-18,122.970001,123.639999,122.820000,123.599998,104.158203,6320900
2011-02-22,122.870003,123.279999,121.489998,121.889999,102.717178,9844300
2011-02-23,121.669998,121.769997,120.360001,120.849998,101.840744,14461100
2011-02-24,120.769997,121.040001,119.559998,120.419998,101.478371,12247300
2011-02-25,120.940002,121.330002,120.739998,121.139999,102.085129,5649800
2011-02-28,121.500000,122.180000,121.440002,122.150002,102.936279,5759600
2011-03-01,122.400002,122.480003,120.370003,120.370003,101.436295,9666700
2011-03-02,120.250000,120.980003,120.000000,120.449997,101.503700,8298400
2011-03-03,121.440002,122.660004,121.430000,122.360001,103.113289,7297200
2011-03-04,122.430000,122.529999,120.599998,121.470001,102.363243,10366700
2011-03-07,121.769997,122.260002,120.209999,120.709999,101.722740,8355500
2011-03-08,120.870003,122.389999,120.580002,121.989998,102.801437,8009200
2011-03-09,121.870003,122.459999,121.449997,122.010002,102.818314,7819900
2011-03-10,120.949997,121.050003,119.620003,119.730003,100.896935,15698000
2011-03-11,119.269997,120.839996,119.220001,120.419998,101.478371,10479900
2011-03-14,119.769997,120.110001,118.919998,119.849998,100.998077,8026700
2011-03-15,117.099998,119.129997,116.919998,118.430000,99.801430,14786600
2011-03-16,117.989998,118.209999,115.510002,116.160004,97.888474,16469000
2011-03-17,117.449997,117.980003,116.910004,117.690002,99.177841,7902300
2011-03-18,118.830002,119.010002,118.000000,118.269997,99.858353,10498900
2011-03-21,119.550003,120.519997,119.550003,120.070000,101.378166,7615000
2011-03-22,120.150002,120.239998,119.769997,119.919998,101.251495,6360500
2011-03-23,119.680000,120.910004,119.440002,120.629997,101.850929,6693400
2011-03-24,121.250000,121.650002,120.720001,121.459999,102.551727,4827100
2011-03-25,121.699997,122.330002,121.599998,121.959999,102.973900,6604100
2011-03-28,122.110001,122.459999,121.699997,121.760002,102.805031,2663400
2011-03-29,121.739998,122.599998,121.489998,122.510002,103.438309,6025800
2011-03-30,123.000000,123.580002,122.940002,123.209999,104.029312,4100800
2011-03-31,123.180000,123.559998,122.949997,123.019997,103.868858,4355100
2011-04-01,123.589996,123.949997,123.139999,123.459999,104.240387,5203200
2011-04-04,123.639999,123.839996,123.449997,123.760002,104.493706,6278900
2011-04-05,123.519997,124.139999,123.260002,123.650002,104.400803,8523300
2011-04-06,124.209999,124.360001,123.800003,124.169998,104.839851,4246000
2011-04-07,124.040001,124.250000,123.110001,123.910004,104.620346,6542200
2011-04-08,124.290001,124.349998,123.050003,123.650002,104.400803,6080300
2011-04-11,123.790001,124.279999,123.360001,123.639999,104.392372,5467500
2011-04-12,122.919998,123.099998,122.169998,122.459999,103.396065,5161400
2011-04-13,123.169998,123.209999,122.080002,122.550003,103.472054,4278200
2011-04-14,121.970001,122.889999,121.459999,122.720001,103.615608,4338300
2011-04-15,122.879997,123.419998,122.449997,123.190002,104.107468,5299500
2011-04-18,121.830002,121.879997,120.650002,121.739998,102.882088,10033200
2011-04-19,121.959999,122.489998,121.730003,122.389999,103.431351,5007200
2011-04-20,123.930000,124.529999,123.760002,124.339996,105.079300,6708700
2011-04-21,124.629997,124.809998,124.190002,124.790001,105.459618,4019100
2011-04-25,124.660004,124.709999,124.209999,124.550003,105.256798,4441200
2011-04-26,124.790001,125.879997,124.650002,125.699997,106.228615,6200000
2011-04-27,125.879997,126.870003,125.669998,126.690002,107.065269,5703800
2011-04-28,126.559998,127.540001,126.540001,127.419998,107.682198,11788000
2011-04-29,127.559998,128.119995,127.540001,128.039993,108.206146,11425900
2011-05-02,128.600006,128.630005,127.620003,127.839996,108.037132,10518700
2011-05-03,127.760002,128.179993,127.269997,127.820000,108.020241,7708200
2011-05-04,127.669998,127.760002,126.510002,126.970001,107.301895,8253900
