Date,Open,High,Low,Close,Adj Close,Volume
2018-03-13,61.833332,62.723331,59.286667,59.903332,59.903332,7595500
2018-03-14,60.660000,60.843334,58.933334,59.700001,59.700001,5567600
2018-03-15,59.880001,60.603333,58.880001,59.433334,59.433334,4620700
2018-03-16,59.773335,60.226665,58.933334,59.040001,59.040001,3261200
2018-03-19,57.496666,57.496666,53.689999,55.333332,55.333332,8093000
2018-03-20,55.346668,56.133335,54.723331,55.740002,55.740002,3841400
2018-03-21,55.333332,56.866665,54.246666,54.933334,54.933334,5520700
2018-03-22,52.799999,53.866665,50.733334,50.919998,50.919998,8578300
2018-03-23,50.733334,51.166668,46.806667,46.806667,46.806667,9066600
2018-03-26,49.666668,52.279999,47.459999,52.073334,52.073334,7646000
2018-03-27,53.296665,53.296665,45.723331,47.080002,47.080002,11400600
2018-03-28,46.256668,47.606667,44.333332,45.456665,45.456665,10095400
2018-03-29,46.146667,49.233334,44.843334,47.973331,47.973331,8211400
2018-04-02,46.840000,47.500000,42.256668,43.713333,43.713333,10206400
2018-04-03,44.916668,45.733334,42.796665,45.180000,45.180000,9241900
2018-04-04,42.543335,47.726665,42.400002,47.316666,47.316666,9030400
2018-04-05,48.726665,48.916668,47.053333,48.060001,48.060001,7639800
2018-04-06,46.563332,47.939999,43.806667,44.473331,44.473331,9678800
2018-04-09,45.646667,48.086666,45.183334,45.363335,45.363335,7328800
2018-04-10,47.483334,48.849998,46.546665,48.360001,48.360001,8119800
2018-04-11,47.533333,49.123333,47.403332,47.546665,47.546665,5976700
2018-04-12,48.500000,49.750000,48.330002,49.213333,49.213333,5948600
2018-04-13,50.003334,50.213333,47.886665,48.483334,48.483334,5936900
2018-04-16,49.473331,50.130001,48.593334,49.553333,49.553333,4929100
2018-04-17,51.040001,53.106667,50.783333,52.723331,52.723331,5172800
2018-04-18,52.799999,53.650002,52.033333,53.090000,53.090000,4920400
2018-04-19,52.323334,52.660000,51.083332,51.646667,51.646667,5375800
2018-04-20,51.250000,51.333332,48.633335,49.169998,49.169998,5867200
2018-04-23,49.853333,50.439999,48.000000,48.783333,48.783333,5138900
2018-04-24,49.426666,49.696667,44.720001,45.673332,45.673332,8875800
2018-04-25,45.893333,46.400002,43.959999,45.853333,45.853333,8784000
2018-04-26,47.596668,49.166668,47.139999,48.696667,48.696667,5916400
2018-04-27,50.826668,50.883335,47.973331,48.810001,48.810001,6869100
2018-04-30,49.136665,50.033333,47.376667,47.770000,47.770000,6713500
2018-05-01,47.353333,49.386665,47.043335,49.323334,49.323334,4874100
2018-05-02,49.650002,50.083332,48.333332,48.463333,48.463333,5985500
2018-05-03,47.816666,48.996666,46.150002,48.466667,48.466667,8169700
2018-05-04,47.853333,51.549999,47.726665,51.193333,51.193333,7747200
2018-05-07,51.953335,52.976665,51.793335,52.410000,52.410000,5794300
2018-05-08,52.130001,52.646667,51.169998,52.236668,52.236668,5279800
2018-05-09,52.599998,54.116665,52.033333,53.986668,53.986668,4791500
2018-05-10,54.500000,55.779999,54.380001,55.666668,55.666668,4958600
2018-05-11,55.383335,55.873333,54.766666,55.500000,55.500000,4987400
2018-05-14,55.849998,56.830002,55.500000,55.746666,55.746666,4549300
2018-05-15,54.419998,54.513332,53.046665,53.943333,53.943333,7271700
2018-05-16,54.066666,55.333332,54.053333,54.936668,54.936668,3738000
2018-05-17,54.376667,55.563332,53.509998,54.316666,54.316666,4300800
2018-05-18,53.696667,54.233334,53.226665,53.446667,53.446667,3561100
2018-05-21,54.673332,55.410000,53.666668,54.380001,54.380001,4870500
2018-05-22,55.076668,55.366665,53.860001,54.096668,54.096668,4039300
2018-05-23,52.900002,55.490002,52.846668,55.456665,55.456665,5100700
2018-05-24,55.439999,55.709999,53.740002,55.410000,55.410000,8842100
2018-05-25,55.430000,56.160000,55.070000,55.549999,55.549999,7885200
2018-05-29,54.790001,55.779999,53.830002,54.840000,54.840000,11731500
2018-05-30,55.400002,56.279999,55.049999,56.009998,56.009998,8850800
2018-05-31,55.930000,56.980000,55.439999,55.889999,55.889999,10132100
2018-06-01,56.650002,58.580002,56.650002,58.490002,58.490002,9613500
2018-06-04,58.900002,60.099998,58.820000,59.990002,59.990002,7958700
2018-06-05,60.470001,60.910000,59.810001,60.610001,60.610001,6987500
2018-06-06,60.799999,61.660000,59.880001,61.610001,61.610001,7203500
2018-06-07,61.689999,61.720001,59.230000,60.180000,60.180000,9806500
2018-06-08,59.230000,60.400002,58.830002,60.139999,60.139999,6165100
2018-06-11,59.990002,61.060001,59.959999,60.610001,60.610001,5104500
2018-06-12,60.860001,61.730000,60.669998,61.570000,61.570000,5912200
